,,,
CGOSTEST TEST SYSTEM INFORMATION,,,
CGOSTEST Version,rev. 1.2.1,,
CGOS API Version,0x01030015,,
CGOS Driver Version,0x01020015,,
System BIOS Version,JVWLR124,,
BC Firmware Version,CGBCP015,,
Board Name,JVWL,,
Board Sub Name,JCWL,,
Product Revision,A.4 (0x0041),,
Part Number,054002,,
EAN Code,04250186130022,,
Serial Number,000005863731,,
,,,
CgosLibInitialize,SUCCESS,,00000000h
CgosBoardOpen,SUCCESS,,00000000h
CgosLibGetLastError,SUCCESS,,00000000h
CgosLibSetLastErrorAddress,SUCCESS,,00000000h
CgosIOCount,SUCCESS,,00000000h
CgosIOIsAvailable,SUCCESS,Unit number: 0,00000000h
CgosIOGetName,SUCCESS,Unit number: 0 name:  àÀ­›ý,00000000h
CgosIOGetDirectionCaps,SUCCESS,Unit number: 0 Input pins: FFFFFFFFh Output pins: FFFFFFFFh,00000000h
CgosIOGetDirection,SUCCESS,Unit number: 0 Current pin direction configuration: FFFFFFFFh,00000000h
CgosIOSetDirection,SUCCESS,Unit number: 0,00000000h
CgosIORead,SUCCESS,Unit number: 0 Current GPIO pin state: 000000FFh,00000000h
CgosIOWrite,SUCCESS,Unit number: 0,00000000h
GPIO Hardware Test,FAILED,,00000000h
CgosIOXorAndXor,! NOT TESTED !,Unit number: 0,00000000h
CgosBoardClose,SUCCESS,,00000000h
CgosLibUninitialize,SUCCESS,,00000000h
